API_NUMBER,DA_STATUS_NUMBER,OPERATOR_NAME,LEASE_NAME,center_lat_wgs84,center_lon_wgs84,min_lat_wgs84,max_lat_wgs84,min_lon_wgs84,max_lon_wgs84
730263,0908460,SUNOCO PIPELINE L.P.,UTHLAKE PL CR 160             13,35.093303,100.255597,35.09261618681319,35.09398981318681,100.25475759767396,100.25643640232603
734839,0908876,FELDERHOFF PRODUCTION COMPANY,"TH, THEO                      13",33.608037,-97.403911,33.60735019839763,33.60872382477125,-97.4047359078878,-97.4030865869804
130779,0907181,WEST TEXAS CRUDE ENERGY LLC,LWIN-JETT                     11,33.907485,100.338968,33.90679808681319,33.90817171318681,100.33814035382821,100.33979544617179
337625,0907831,"BLACKBEARD OPERATING, LLC",VY JONES 5L                   10,31.516500,102.715875,31.515813186813187,31.517186813186814,102.71506934426144,102.71668065573856
337638,0907834,"BLACKBEARD OPERATING, LLC",VY JONES 5WC                  10,31.516525,102.715781,31.515838186813188,31.517211813186815,102.71497494404589,102.71658625595411
337515,0902468,"BLACKBEARD OPERATING, LLC",DDELL TR AD1 6L               10,31.512309,102.695892,31.511622186813184,31.512995813186812,102.69508678039405,102.69669801960596
337607,0907093,"BTA OIL PRODUCERS, LLC",CORNER CHUTE 22303 E 22-27   10,31.512318,102.356757,31.511631186813187,31.513004813186814,102.35595138031645,102.35756261968355
335187,0908608,FORMENTERA OPERATIONS LLC,B. TUBB A/C 1 TR A           10,31.494145,102.606962,31.493458086813185,31.494831713186812,102.60615703690807,102.60776796309192
337052,0908604,FORMENTERA OPERATIONS LLC,B. TUBB A/C 1 TR A           10,31.496446,102.604123,31.495759286813186,31.497132913186814,102.60331781708724,102.60492878291275
337642,0908668,"GREEN CENTURY EXP & PROD, LLC",NDICATE FEE 'A'               10,31.351263,102.688224,31.350576386813188,31.351950013186816,102.68741986313944,102.68902833686056
334508,0908620,"SLANT OPERATING, LLC",WARDS                         10,31.637636,102.391746,31.636949586813188,31.638323213186816,102.39093959661764,102.39255300338235
542564,0908810,"TRIPLE CROWN RESOURCES, LLC",IVERSITY LANDS 214            09,30.986044,101.048170,30.985357686813185,30.986731313186812,101.047368758023,101.04897104197701
542565,0908811,"TRIPLE CROWN RESOURCES, LLC",IVERSITY LANDS 214            09,30.986044,101.048106,30.985357586813187,30.986731213186815,101.04730455802384,101.04890684197615
542566,0908812,"TRIPLE CROWN RESOURCES, LLC",IVERSITY LANDS 214            09,30.986045,101.048042,30.985357786813186,30.986731413186813,101.04724065802215,101.04884294197784
